dataset_code;layer_code;current_layer_code;model;scenario;year;version;layer_url
WorldClim;WC_bio1_he45_2050;WC_bio1;HadGEM2-ES;rcp45;2050;1;https://www.lifewatch.be/sdmpredictors/WC_bio1_he45_2050_lonlat.tif
WorldClim;WC_bio1_he45_2070;WC_bio1;HadGEM2-ES;rcp45;2070;1;https://www.lifewatch.be/sdmpredictors/WC_bio1_he45_2070_lonlat.tif
WorldClim;WC_bio1_he60_2050;WC_bio1;HadGEM2-ES;rcp60;2050;1;https://www.lifewatch.be/sdmpredictors/WC_bio1_he60_2050_lonlat.tif
WorldClim;WC_bio1_he60_2070;WC_bio1;HadGEM2-ES;rcp60;2070;1;https://www.lifewatch.be/sdmpredictors/WC_bio1_he60_2070_lonlat.tif
WorldClim;WC_bio1_he85_2050;WC_bio1;HadGEM2-ES;rcp85;2050;1;https://www.lifewatch.be/sdmpredictors/WC_bio1_he85_2050_lonlat.tif
WorldClim;WC_bio1_he85_2070;WC_bio1;HadGEM2-ES;rcp85;2070;1;https://www.lifewatch.be/sdmpredictors/WC_bio1_he85_2070_lonlat.tif
WorldClim;WC_bio1_mr26_2050;WC_bio1;MIROC-ESM;rcp26;2050;1;https://www.lifewatch.be/sdmpredictors/WC_bio1_mr26_2050_lonlat.tif
WorldClim;WC_bio1_mr26_2070;WC_bio1;MIROC-ESM;rcp26;2070;1;https://www.lifewatch.be/sdmpredictors/WC_bio1_mr26_2070_lonlat.tif
WorldClim;WC_bio1_mr45_2050;WC_bio1;MIROC-ESM;rcp45;2050;1;https://www.lifewatch.be/sdmpredictors/WC_bio1_mr45_2050_lonlat.tif
WorldClim;WC_bio1_mr45_2070;WC_bio1;MIROC-ESM;rcp45;2070;1;https://www.lifewatch.be/sdmpredictors/WC_bio1_mr45_2070_lonlat.tif
WorldClim;WC_bio1_mr60_2050;WC_bio1;MIROC-ESM;rcp60;2050;1;https://www.lifewatch.be/sdmpredictors/WC_bio1_mr60_2050_lonlat.tif
WorldClim;WC_bio1_mr60_2070;WC_bio1;MIROC-ESM;rcp60;2070;1;https://www.lifewatch.be/sdmpredictors/WC_bio1_mr60_2070_lonlat.tif
WorldClim;WC_bio1_mr85_2050;WC_bio1;MIROC-ESM;rcp85;2050;1;https://www.lifewatch.be/sdmpredictors/WC_bio1_mr85_2050_lonlat.tif
WorldClim;WC_bio1_mr85_2070;WC_bio1;MIROC-ESM;rcp85;2070;1;https://www.lifewatch.be/sdmpredictors/WC_bio1_mr85_2070_lonlat.tif
WorldClim;WC_bio10_cc26_2050;WC_bio10;CCSM4;rcp26;2050;1;https://www.lifewatch.be/sdmpredictors/WC_bio10_cc26_2050_lonlat.tif
WorldClim;WC_bio10_cc26_2070;WC_bio10;CCSM4;rcp26;2070;1;https://www.lifewatch.be/sdmpredictors/WC_bio10_cc26_2070_lonlat.tif
WorldClim;WC_bio10_cc45_2050;WC_bio10;CCSM4;rcp45;2050;1;https://www.lifewatch.be/sdmpredictors/WC_bio10_cc45_2050_lonlat.tif
WorldClim;WC_bio10_cc45_2070;WC_bio10;CCSM4;rcp45;2070;1;https://www.lifewatch.be/sdmpredictors/WC_bio10_cc45_2070_lonlat.tif
WorldClim;WC_bio10_cc60_2050;WC_bio10;CCSM4;rcp60;2050;1;https://www.lifewatch.be/sdmpredictors/WC_bio10_cc60_2050_lonlat.tif
WorldClim;WC_bio10_cc60_2070;WC_bio10;CCSM4;rcp60;2070;1;https://www.lifewatch.be/sdmpredictors/WC_bio10_cc60_2070_lonlat.tif
WorldClim;WC_bio10_cc85_2050;WC_bio10;CCSM4;rcp85;2050;1;https://www.lifewatch.be/sdmpredictors/WC_bio10_cc85_2050_lonlat.tif
WorldClim;WC_bio10_cc85_2070;WC_bio10;CCSM4;rcp85;2070;1;https://www.lifewatch.be/sdmpredictors/WC_bio10_cc85_2070_lonlat.tif
WorldClim;WC_bio10_he26_2050;WC_bio10;HadGEM2-ES;rcp26;2050;1;https://www.lifewatch.be/sdmpredictors/WC_bio10_he26_2050_lonlat.tif
WorldClim;WC_bio10_he26_2070;WC_bio10;HadGEM2-ES;rcp26;2070;1;https://www.lifewatch.be/sdmpredictors/WC_bio10_he26_2070_lonlat.tif
WorldClim;WC_bio10_he45_2050;WC_bio10;HadGEM2-ES;rcp45;2050;1;https://www.lifewatch.be/sdmpredictors/WC_bio10_he45_2050_lonlat.tif
WorldClim;WC_bio10_he45_2070;WC_bio10;HadGEM2-ES;rcp45;2070;1;https://www.lifewatch.be/sdmpredictors/WC_bio10_he45_2070_lonlat.tif
WorldClim;WC_bio10_he60_2050;WC_bio10;HadGEM2-ES;rcp60;2050;1;https://www.lifewatch.be/sdmpredictors/WC_bio10_he60_2050_lonlat.tif
WorldClim;WC_bio10_he60_2070;WC_bio10;HadGEM2-ES;rcp60;2070;1;https://www.lifewatch.be/sdmpredictors/WC_bio10_he60_2070_lonlat.tif
WorldClim;WC_bio10_he85_2050;WC_bio10;HadGEM2-ES;rcp85;2050;1;https://www.lifewatch.be/sdmpredictors/WC_bio10_he85_2050_lonlat.tif
WorldClim;WC_bio10_he85_2070;WC_bio10;HadGEM2-ES;rcp85;2070;1;https://www.lifewatch.be/sdmpredictors/WC_bio10_he85_2070_lonlat.tif
WorldClim;WC_bio10_mr26_2050;WC_bio10;MIROC-ESM;rcp26;2050;1;https://www.lifewatch.be/sdmpredictors/WC_bio10_mr26_2050_lonlat.tif
WorldClim;WC_bio10_mr26_2070;WC_bio10;MIROC-ESM;rcp26;2070;1;https://www.lifewatch.be/sdmpredictors/WC_bio10_mr26_2070_lonlat.tif
WorldClim;WC_bio10_mr45_2050;WC_bio10;MIROC-ESM;rcp45;2050;1;https://www.lifewatch.be/sdmpredictors/WC_bio10_mr45_2050_lonlat.tif
WorldClim;WC_bio10_mr45_2070;WC_bio10;MIROC-ESM;rcp45;2070;1;https://www.lifewatch.be/sdmpredictors/WC_bio10_mr45_2070_lonlat.tif
WorldClim;WC_bio10_mr60_2050;WC_bio10;MIROC-ESM;rcp60;2050;1;https://www.lifewatch.be/sdmpredictors/WC_bio10_mr60_2050_lonlat.tif
WorldClim;WC_bio10_mr60_2070;WC_bio10;MIROC-ESM;rcp60;2070;1;https://www.lifewatch.be/sdmpredictors/WC_bio10_mr60_2070_lonlat.tif
WorldClim;WC_bio10_mr85_2050;WC_bio10;MIROC-ESM;rcp85;2050;1;https://www.lifewatch.be/sdmpredictors/WC_bio10_mr85_2050_lonlat.tif
WorldClim;WC_bio10_mr85_2070;WC_bio10;MIROC-ESM;rcp85;2070;1;https://www.lifewatch.be/sdmpredictors/WC_bio10_mr85_2070_lonlat.tif
WorldClim;WC_bio11_cc26_2050;WC_bio11;CCSM4;rcp26;2050;1;https://www.lifewatch.be/sdmpredictors/WC_bio11_cc26_2050_lonlat.tif
WorldClim;WC_bio11_cc26_2070;WC_bio11;CCSM4;rcp26;2070;1;https://www.lifewatch.be/sdmpredictors/WC_bio11_cc26_2070_lonlat.tif
WorldClim;WC_bio11_cc45_2050;WC_bio11;CCSM4;rcp45;2050;1;https://www.lifewatch.be/sdmpredictors/WC_bio11_cc45_2050_lonlat.tif
WorldClim;WC_bio11_cc45_2070;WC_bio11;CCSM4;rcp45;2070;1;https://www.lifewatch.be/sdmpredictors/WC_bio11_cc45_2070_lonlat.tif
WorldClim;WC_bio11_cc60_2050;WC_bio11;CCSM4;rcp60;2050;1;https://www.lifewatch.be/sdmpredictors/WC_bio11_cc60_2050_lonlat.tif
WorldClim;WC_bio11_cc60_2070;WC_bio11;CCSM4;rcp60;2070;1;https://www.lifewatch.be/sdmpredictors/WC_bio11_cc60_2070_lonlat.tif
WorldClim;WC_bio11_cc85_2050;WC_bio11;CCSM4;rcp85;2050;1;https://www.lifewatch.be/sdmpredictors/WC_bio11_cc85_2050_lonlat.tif
WorldClim;WC_bio11_cc85_2070;WC_bio11;CCSM4;rcp85;2070;1;https://www.lifewatch.be/sdmpredictors/WC_bio11_cc85_2070_lonlat.tif
WorldClim;WC_bio11_he26_2050;WC_bio11;HadGEM2-ES;rcp26;2050;1;https://www.lifewatch.be/sdmpredictors/WC_bio11_he26_2050_lonlat.tif
WorldClim;WC_bio11_he26_2070;WC_bio11;HadGEM2-ES;rcp26;2070;1;https://www.lifewatch.be/sdmpredictors/WC_bio11_he26_2070_lonlat.tif
WorldClim;WC_bio11_he45_2050;WC_bio11;HadGEM2-ES;rcp45;2050;1;https://www.lifewatch.be/sdmpredictors/WC_bio11_he45_2050_lonlat.tif
WorldClim;WC_bio11_he45_2070;WC_bio11;HadGEM2-ES;rcp45;2070;1;https://www.lifewatch.be/sdmpredictors/WC_bio11_he45_2070_lonlat.tif
WorldClim;WC_bio11_he60_2050;WC_bio11;HadGEM2-ES;rcp60;2050;1;https://www.lifewatch.be/sdmpredictors/WC_bio11_he60_2050_lonlat.tif
WorldClim;WC_bio11_he60_2070;WC_bio11;HadGEM2-ES;rcp60;2070;1;https://www.lifewatch.be/sdmpredictors/WC_bio11_he60_2070_lonlat.tif
WorldClim;WC_bio11_he85_2050;WC_bio11;HadGEM2-ES;rcp85;2050;1;https://www.lifewatch.be/sdmpredictors/WC_bio11_he85_2050_lonlat.tif
WorldClim;WC_bio11_he85_2070;WC_bio11;HadGEM2-ES;rcp85;2070;1;https://www.lifewatch.be/sdmpredictors/WC_bio11_he85_2070_lonlat.tif
WorldClim;WC_bio11_mr26_2050;WC_bio11;MIROC-ESM;rcp26;2050;1;https://www.lifewatch.be/sdmpredictors/WC_bio11_mr26_2050_lonlat.tif
WorldClim;WC_bio11_mr26_2070;WC_bio11;MIROC-ESM;rcp26;2070;1;https://www.lifewatch.be/sdmpredictors/WC_bio11_mr26_2070_lonlat.tif
WorldClim;WC_bio11_mr45_2050;WC_bio11;MIROC-ESM;rcp45;2050;1;https://www.lifewatch.be/sdmpredictors/WC_bio11_mr45_2050_lonlat.tif
WorldClim;WC_bio11_mr45_2070;WC_bio11;MIROC-ESM;rcp45;2070;1;https://www.lifewatch.be/sdmpredictors/WC_bio11_mr45_2070_lonlat.tif
WorldClim;WC_bio11_mr60_2050;WC_bio11;MIROC-ESM;rcp60;2050;1;https://www.lifewatch.be/sdmpredictors/WC_bio11_mr60_2050_lonlat.tif
WorldClim;WC_bio11_mr60_2070;WC_bio11;MIROC-ESM;rcp60;2070;1;https://www.lifewatch.be/sdmpredictors/WC_bio11_mr60_2070_lonlat.tif
WorldClim;WC_bio11_mr85_2050;WC_bio11;MIROC-ESM;rcp85;2050;1;https://www.lifewatch.be/sdmpredictors/WC_bio11_mr85_2050_lonlat.tif
WorldClim;WC_bio11_mr85_2070;WC_bio11;MIROC-ESM;rcp85;2070;1;https://www.lifewatch.be/sdmpredictors/WC_bio11_mr85_2070_lonlat.tif
WorldClim;WC_bio12_cc26_2050;WC_bio12;CCSM4;rcp26;2050;1;https://www.lifewatch.be/sdmpredictors/WC_bio12_cc26_2050_lonlat.tif
WorldClim;WC_bio12_cc26_2070;WC_bio12;CCSM4;rcp26;2070;1;https://www.lifewatch.be/sdmpredictors/WC_bio12_cc26_2070_lonlat.tif
WorldClim;WC_bio12_cc45_2050;WC_bio12;CCSM4;rcp45;2050;1;https://www.lifewatch.be/sdmpredictors/WC_bio12_cc45_2050_lonlat.tif
WorldClim;WC_bio12_cc45_2070;WC_bio12;CCSM4;rcp45;2070;1;https://www.lifewatch.be/sdmpredictors/WC_bio12_cc45_2070_lonlat.tif
WorldClim;WC_bio12_cc60_2050;WC_bio12;CCSM4;rcp60;2050;1;https://www.lifewatch.be/sdmpredictors/WC_bio12_cc60_2050_lonlat.tif
WorldClim;WC_bio12_cc60_2070;WC_bio12;CCSM4;rcp60;2070;1;https://www.lifewatch.be/sdmpredictors/WC_bio12_cc60_2070_lonlat.tif
WorldClim;WC_bio12_cc85_2050;WC_bio12;CCSM4;rcp85;2050;1;https://www.lifewatch.be/sdmpredictors/WC_bio12_cc85_2050_lonlat.tif
WorldClim;WC_bio12_cc85_2070;WC_bio12;CCSM4;rcp85;2070;1;https://www.lifewatch.be/sdmpredictors/WC_bio12_cc85_2070_lonlat.tif
WorldClim;WC_bio12_he26_2050;WC_bio12;HadGEM2-ES;rcp26;2050;1;https://www.lifewatch.be/sdmpredictors/WC_bio12_he26_2050_lonlat.tif
WorldClim;WC_bio12_he26_2070;WC_bio12;HadGEM2-ES;rcp26;2070;1;https://www.lifewatch.be/sdmpredictors/WC_bio12_he26_2070_lonlat.tif
WorldClim;WC_bio12_he45_2050;WC_bio12;HadGEM2-ES;rcp45;2050;1;https://www.lifewatch.be/sdmpredictors/WC_bio12_he45_2050_lonlat.tif
WorldClim;WC_bio12_he45_2070;WC_bio12;HadGEM2-ES;rcp45;2070;1;https://www.lifewatch.be/sdmpredictors/WC_bio12_he45_2070_lonlat.tif
WorldClim;WC_bio12_he60_2050;WC_bio12;HadGEM2-ES;rcp60;2050;1;https://www.lifewatch.be/sdmpredictors/WC_bio12_he60_2050_lonlat.tif
WorldClim;WC_bio12_he60_2070;WC_bio12;HadGEM2-ES;rcp60;2070;1;https://www.lifewatch.be/sdmpredictors/WC_bio12_he60_2070_lonlat.tif
WorldClim;WC_bio12_he85_2050;WC_bio12;HadGEM2-ES;rcp85;2050;1;https://www.lifewatch.be/sdmpredictors/WC_bio12_he85_2050_lonlat.tif
WorldClim;WC_bio12_he85_2070;WC_bio12;HadGEM2-ES;rcp85;2070;1;https://www.lifewatch.be/sdmpredictors/WC_bio12_he85_2070_lonlat.tif
WorldClim;WC_bio12_mr26_2050;WC_bio12;MIROC-ESM;rcp26;2050;1;https://www.lifewatch.be/sdmpredictors/WC_bio12_mr26_2050_lonlat.tif
WorldClim;WC_bio12_mr26_2070;WC_bio12;MIROC-ESM;rcp26;2070;1;https://www.lifewatch.be/sdmpredictors/WC_bio12_mr26_2070_lonlat.tif
WorldClim;WC_bio12_mr45_2050;WC_bio12;MIROC-ESM;rcp45;2050;1;https://www.lifewatch.be/sdmpredictors/WC_bio12_mr45_2050_lonlat.tif
WorldClim;WC_bio12_mr45_2070;WC_bio12;MIROC-ESM;rcp45;2070;1;https://www.lifewatch.be/sdmpredictors/WC_bio12_mr45_2070_lonlat.tif
WorldClim;WC_bio12_mr60_2050;WC_bio12;MIROC-ESM;rcp60;2050;1;https://www.lifewatch.be/sdmpredictors/WC_bio12_mr60_2050_lonlat.tif
WorldClim;WC_bio12_mr60_2070;WC_bio12;MIROC-ESM;rcp60;2070;1;https://www.lifewatch.be/sdmpredictors/WC_bio12_mr60_2070_lonlat.tif
WorldClim;WC_bio12_mr85_2050;WC_bio12;MIROC-ESM;rcp85;2050;1;https://www.lifewatch.be/sdmpredictors/WC_bio12_mr85_2050_lonlat.tif
WorldClim;WC_bio12_mr85_2070;WC_bio12;MIROC-ESM;rcp85;2070;1;https://www.lifewatch.be/sdmpredictors/WC_bio12_mr85_2070_lonlat.tif
WorldClim;WC_bio13_cc26_2050;WC_bio13;CCSM4;rcp26;2050;1;https://www.lifewatch.be/sdmpredictors/WC_bio13_cc26_2050_lonlat.tif
WorldClim;WC_bio13_cc26_2070;WC_bio13;CCSM4;rcp26;2070;1;https://www.lifewatch.be/sdmpredictors/WC_bio13_cc26_2070_lonlat.tif
WorldClim;WC_bio13_cc45_2050;WC_bio13;CCSM4;rcp45;2050;1;https://www.lifewatch.be/sdmpredictors/WC_bio13_cc45_2050_lonlat.tif
WorldClim;WC_bio13_cc45_2070;WC_bio13;CCSM4;rcp45;2070;1;https://www.lifewatch.be/sdmpredictors/WC_bio13_cc45_2070_lonlat.tif
WorldClim;WC_bio13_cc60_2050;WC_bio13;CCSM4;rcp60;2050;1;https://www.lifewatch.be/sdmpredictors/WC_bio13_cc60_2050_lonlat.tif
WorldClim;WC_bio13_cc60_2070;WC_bio13;CCSM4;rcp60;2070;1;https://www.lifewatch.be/sdmpredictors/WC_bio13_cc60_2070_lonlat.tif
WorldClim;WC_bio13_cc85_2050;WC_bio13;CCSM4;rcp85;2050;1;https://www.lifewatch.be/sdmpredictors/WC_bio13_cc85_2050_lonlat.tif
WorldClim;WC_bio13_cc85_2070;WC_bio13;CCSM4;rcp85;2070;1;https://www.lifewatch.be/sdmpredictors/WC_bio13_cc85_2070_lonlat.tif
WorldClim;WC_bio13_he26_2050;WC_bio13;HadGEM2-ES;rcp26;2050;1;https://www.lifewatch.be/sdmpredictors/WC_bio13_he26_2050_lonlat.tif
WorldClim;WC_bio13_he26_2070;WC_bio13;HadGEM2-ES;rcp26;2070;1;https://www.lifewatch.be/sdmpredictors/WC_bio13_he26_2070_lonlat.tif
WorldClim;WC_bio13_he45_2050;WC_bio13;HadGEM2-ES;rcp45;2050;1;https://www.lifewatch.be/sdmpredictors/WC_bio13_he45_2050_lonlat.tif
WorldClim;WC_bio13_he45_2070;WC_bio13;HadGEM2-ES;rcp45;2070;1;https://www.lifewatch.be/sdmpredictors/WC_bio13_he45_2070_lonlat.tif
WorldClim;WC_bio13_he60_2050;WC_bio13;HadGEM2-ES;rcp60;2050;1;https://www.lifewatch.be/sdmpredictors/WC_bio13_he60_2050_lonlat.tif
WorldClim;WC_bio13_he60_2070;WC_bio13;HadGEM2-ES;rcp60;2070;1;https://www.lifewatch.be/sdmpredictors/WC_bio13_he60_2070_lonlat.tif
WorldClim;WC_bio13_he85_2050;WC_bio13;HadGEM2-ES;rcp85;2050;1;https://www.lifewatch.be/sdmpredictors/WC_bio13_he85_2050_lonlat.tif
WorldClim;WC_bio13_he85_2070;WC_bio13;HadGEM2-ES;rcp85;2070;1;https://www.lifewatch.be/sdmpredictors/WC_bio13_he85_2070_lonlat.tif
WorldClim;WC_bio13_mr26_2050;WC_bio13;MIROC-ESM;rcp26;2050;1;https://www.lifewatch.be/sdmpredictors/WC_bio13_mr26_2050_lonlat.tif
WorldClim;WC_bio13_mr26_2070;WC_bio13;MIROC-ESM;rcp26;2070;1;https://www.lifewatch.be/sdmpredictors/WC_bio13_mr26_2070_lonlat.tif
WorldClim;WC_bio13_mr45_2050;WC_bio13;MIROC-ESM;rcp45;2050;1;https://www.lifewatch.be/sdmpredictors/WC_bio13_mr45_2050_lonlat.tif
WorldClim;WC_bio13_mr45_2070;WC_bio13;MIROC-ESM;rcp45;2070;1;https://www.lifewatch.be/sdmpredictors/WC_bio13_mr45_2070_lonlat.tif
WorldClim;WC_bio13_mr60_2050;WC_bio13;MIROC-ESM;rcp60;2050;1;https://www.lifewatch.be/sdmpredictors/WC_bio13_mr60_2050_lonlat.tif
WorldClim;WC_bio13_mr60_2070;WC_bio13;MIROC-ESM;rcp60;2070;1;https://www.lifewatch.be/sdmpredictors/WC_bio13_mr60_2070_lonlat.tif
WorldClim;WC_bio13_mr85_2050;WC_bio13;MIROC-ESM;rcp85;2050;1;https://www.lifewatch.be/sdmpredictors/WC_bio13_mr85_2050_lonlat.tif
WorldClim;WC_bio13_mr85_2070;WC_bio13;MIROC-ESM;rcp85;2070;1;https://www.lifewatch.be/sdmpredictors/WC_bio13_mr85_2070_lonlat.tif
WorldClim;WC_bio14_cc26_2050;WC_bio14;CCSM4;rcp26;2050;1;https://www.lifewatch.be/sdmpredictors/WC_bio14_cc26_2050_lonlat.tif
WorldClim;WC_bio14_cc26_2070;WC_bio14;CCSM4;rcp26;2070;1;https://www.lifewatch.be/sdmpredictors/WC_bio14_cc26_2070_lonlat.tif
WorldClim;WC_bio14_cc45_2050;WC_bio14;CCSM4;rcp45;2050;1;https://www.lifewatch.be/sdmpredictors/WC_bio14_cc45_2050_lonlat.tif
WorldClim;WC_bio14_cc45_2070;WC_bio14;CCSM4;rcp45;2070;1;https://www.lifewatch.be/sdmpredictors/WC_bio14_cc45_2070_lonlat.tif
WorldClim;WC_bio14_cc60_2050;WC_bio14;CCSM4;rcp60;2050;1;https://www.lifewatch.be/sdmpredictors/WC_bio14_cc60_2050_lonlat.tif
WorldClim;WC_bio14_cc60_2070;WC_bio14;CCSM4;rcp60;2070;1;https://www.lifewatch.be/sdmpredictors/WC_bio14_cc60_2070_lonlat.tif
WorldClim;WC_bio14_cc85_2050;WC_bio14;CCSM4;rcp85;2050;1;https://www.lifewatch.be/sdmpredictors/WC_bio14_cc85_2050_lonlat.tif
WorldClim;WC_bio14_cc85_2070;WC_bio14;CCSM4;rcp85;2070;1;https://www.lifewatch.be/sdmpredictors/WC_bio14_cc85_2070_lonlat.tif
WorldClim;WC_bio14_he26_2050;WC_bio14;HadGEM2-ES;rcp26;2050;1;https://www.lifewatch.be/sdmpredictors/WC_bio14_he26_2050_lonlat.tif
WorldClim;WC_bio14_he26_2070;WC_bio14;HadGEM2-ES;rcp26;2070;1;https://www.lifewatch.be/sdmpredictors/WC_bio14_he26_2070_lonlat.tif
WorldClim;WC_bio14_he45_2050;WC_bio14;HadGEM2-ES;rcp45;2050;1;https://www.lifewatch.be/sdmpredictors/WC_bio14_he45_2050_lonlat.tif
WorldClim;WC_bio14_he45_2070;WC_bio14;HadGEM2-ES;rcp45;2070;1;https://www.lifewatch.be/sdmpredictors/WC_bio14_he45_2070_lonlat.tif
WorldClim;WC_bio14_he60_2050;WC_bio14;HadGEM2-ES;rcp60;2050;1;https://www.lifewatch.be/sdmpredictors/WC_bio14_he60_2050_lonlat.tif
WorldClim;WC_bio14_he60_2070;WC_bio14;HadGEM2-ES;rcp60;2070;1;https://www.lifewatch.be/sdmpredictors/WC_bio14_he60_2070_lonlat.tif
